filepath,class_name,label,split
healthy/Siar_healthy_98.jpg,healthy,1,train
healthy/Siar_healthy_767.jpg,healthy,1,train
glioma/Hossein_Hashemi_glioma_1303.jpg,glioma,0,train
pituitary/Rajarshi_Mandal_pituitary_319.jpg,pituitary,3,train
meningioma/Hossein_Hashemi_meningioma_2754.jpg,meningioma,2,train
meningioma/Hossein_Hashemi_meningioma_2226.jpg,meningioma,2,train
healthy/Siar_healthy_1701.jpg,healthy,1,train
meningioma/Rajarshi_Mandal_meningioma_6181.jpg,meningioma,2,train
glioma/Hossein_Hashemi_glioma_1681.jpg,glioma,0,train
pituitary/Orvile_pituitary_264.jpg,pituitary,3,train
glioma/Hossein_Hashemi_glioma_1447.jpg,glioma,0,train
meningioma/Rajarshi_Mandal_meningioma_6196.jpg,meningioma,2,train
glioma/Rajarshi_Mandal_glioma_4655.jpg,glioma,0,train
meningioma/Fernando_Feltrin_meningioma_247.jpg,meningioma,2,train
healthy/Hossein_Hashemi_healthy_997.jpg,healthy,1,train
healthy/Fernando_Feltrin_healthy_19.jpg,healthy,1,train
meningioma/meningioma (145).jpeg,meningioma,2,train
meningioma/Hossein_Hashemi_meningioma_2914.jpg,meningioma,2,train
meningioma/Rajarshi_Mandal_meningioma_6158.jpg,meningioma,2,train
glioma/glioma (181).jpeg,glioma,0,train
glioma/Rajarshi_Mandal_glioma_5016.jpg,glioma,0,train
meningioma/Hossein_Hashemi_meningioma_3018.jpg,meningioma,2,train
healthy/Siar_healthy_3037.jpg,healthy,1,train
meningioma/Orvile_meningioma_1427.jpg,meningioma,2,train
meningioma/Hossein_Hashemi_meningioma_2700.jpg,meningioma,2,train
glioma/glioma (238).jpeg,glioma,0,train
glioma/Rajarshi_Mandal_glioma_4644.jpg,glioma,0,train
healthy/Siar_healthy_575.jpg,healthy,1,train
healthy/Siar_healthy_3789.jpg,healthy,1,train
pituitary/Hossein_Hashemi_pituitary_625.jpg,pituitary,3,train
healthy/Rajarshi_Mandal_healthy_3012.jpg,healthy,1,train
pituitary/Rajarshi_Mandal_pituitary_816.jpg,pituitary,3,train
meningioma/Hossein_Hashemi_meningioma_2646.jpg,meningioma,2,train
healthy/Siar_healthy_3251.jpg,healthy,1,train
healthy/Siar_healthy_3340.jpg,healthy,1,train
pituitary/Rajarshi_Mandal_pituitary_490.jpg,pituitary,3,train
healthy/Siar_healthy_3041.jpg,healthy,1,train
meningioma/Hossein_Hashemi_meningioma_2445.jpg,meningioma,2,train
healthy/Rajarshi_Mandal_healthy_2286.jpg,healthy,1,train
glioma/Rajarshi_Mandal_glioma_5202.jpg,glioma,0,train
pituitary/Rajarshi_Mandal_pituitary_15.jpg,pituitary,3,train
meningioma/Rajarshi_Mandal_meningioma_5647.jpg,meningioma,2,train
healthy/Rajarshi_Mandal_healthy_2940.jpg,healthy,1,train
meningioma/Rajarshi_Mandal_meningioma_6907.jpg,meningioma,2,train
healthy/Siar_healthy_2704.jpg,healthy,1,train
glioma/Rajarshi_Mandal_glioma_4236.jpg,glioma,0,train
healthy/Orvile_healthy_578.jpg,healthy,1,train
pituitary/Hossein_Hashemi_pituitary_649.jpg,pituitary,3,train
healthy/Hossein_Hashemi_healthy_916.jpg,healthy,1,train
meningioma/Rajarshi_Mandal_meningioma_5702.jpg,meningioma,2,train
healthy/Siar_healthy_8.jpg,healthy,1,train
pituitary/Rajarshi_Mandal_pituitary_153.jpg,pituitary,3,train
healthy/Rajarshi_Mandal_healthy_3551.jpg,healthy,1,train
meningioma/Rajarshi_Mandal_meningioma_5836.jpg,meningioma,2,train
glioma/Hossein_Hashemi_glioma_1505.jpg,glioma,0,train
meningioma/Hossein_Hashemi_meningioma_2399.jpg,meningioma,2,train
healthy/Orvile_healthy_599.jpg,healthy,1,train
healthy/Siar_healthy_3640.jpg,healthy,1,train
healthy/Siar_healthy_2674.jpg,healthy,1,train
healthy/Rajarshi_Mandal_healthy_3472.jpg,healthy,1,train
glioma/Orvile_glioma_1051.jpg,glioma,0,train
pituitary/Rajarshi_Mandal_pituitary_1442.jpg,pituitary,3,train
meningioma/Rajarshi_Mandal_meningioma_6478.jpg,meningioma,2,train
healthy/Rajarshi_Mandal_healthy_2513.jpg,healthy,1,train
healthy/Siar_healthy_1326.jpg,healthy,1,train
glioma/Orvile_glioma_1137.jpg,glioma,0,train
meningioma/Rajarshi_Mandal_meningioma_6395.jpg,meningioma,2,train
pituitary/Rajarshi_Mandal_pituitary_636.jpg,pituitary,3,train
healthy/Siar_healthy_985.jpg,healthy,1,train
healthy/Siar_healthy_1600.jpg,healthy,1,train
pituitary/Rajarshi_Mandal_pituitary_1744.jpg,pituitary,3,train
pituitary/Rajarshi_Mandal_pituitary_1163.jpg,pituitary,3,train
healthy/Siar_healthy_3083.jpg,healthy,1,train
pituitary/Rajarshi_Mandal_pituitary_1642.jpg,pituitary,3,train
healthy/Rajarshi_Mandal_healthy_2820.jpg,healthy,1,train
healthy/Siar_healthy_3543.jpg,healthy,1,train
pituitary/Hossein_Hashemi_pituitary_696.jpg,pituitary,3,train
healthy/Siar_healthy_3433.jpg,healthy,1,train
glioma/glioma (68).jpeg,glioma,0,train
glioma/Rajarshi_Mandal_glioma_4151.jpg,glioma,0,train
healthy/Siar_healthy_2106.jpg,healthy,1,train
pituitary/Rajarshi_Mandal_pituitary_1065.jpg,pituitary,3,train
pituitary/Rajarshi_Mandal_pituitary_854.jpg,pituitary,3,train
pituitary/Hossein_Hashemi_pituitary_182.jpg,pituitary,3,train
meningioma/Hossein_Hashemi_meningioma_2827.jpg,meningioma,2,train
pituitary/Rajarshi_Mandal_pituitary_225.jpg,pituitary,3,train
healthy/Rajarshi_Mandal_healthy_2947.jpg,healthy,1,train
healthy/Orvile_healthy_427.jpg,healthy,1,train
glioma/Rajarshi_Mandal_glioma_4662.jpg,glioma,0,train
glioma/Rajarshi_Mandal_glioma_4628.jpg,glioma,0,train
healthy/Siar_healthy_2650.jpg,healthy,1,train
meningioma/Hossein_Hashemi_meningioma_2683.jpg,meningioma,2,train
glioma/glioma (65).jpeg,glioma,0,train
healthy/Siar_healthy_3621.jpg,healthy,1,train
healthy/Rajarshi_Mandal_healthy_1962.jpg,healthy,1,train
healthy/Siar_healthy_1904.jpg,healthy,1,train
